Outer flow rate,Middle flow rate,Inner flow rate,Sum outer middle,Sum middle inner,Outer droplet radius,Outer droplet radius error,Inner droplet radius,Inner droplet radius error,Comment
1000,150,250,1150,400,85.43,2.46,72.5,5.53,"Very thin shell, inner and outer droplets are hardly distinguishable"
1000,200,200,1200,400,90.64,0.59,59.5,1.76,
1000,250,150,1250,400,103.09,2.62,51.19,2.18,
1000,300,100,1300,400,100,3.52,42.75,2.86,
1000,300,100,1300,400,108.34,4.18,47,0,
1000,300,100,1300,400,108.1,6.97,47,3.28,
1000,350,50,1350,400,116.71,4.38,33.6,0,
1000,350,50,1350,400,121.24,7.24,42.73,10.97,
1300,400,100,1700,500,111.62,3.67,49.88,1.96,
1300,400,100,1700,500,113.92,0.68,47.32,0,
1300,400,100,1700,500,107.9,3.42,50.49,5.21,
1350,350,100,1700,450,103.66,2.44,49.7,3.85,
1350,350,100,1700,450,106.87,3.23,52.57,4,
1350,350,100,1700,450,116.41,4.22,48.36,3.19,
1400,300,100,1700,400,101.08,10.03,51.7,1.14,
1400,300,100,1700,400,100.56,2.72,51.82,3.82,
1400,300,100,1700,400,105.35,5.86,44.1,0,
1450,250,100,1700,350,96.75,1.54,52.05,3.91,
1450,250,100,1700,350,100.88,6.35,48.96,0,
1450,250,100,1700,350,101.34,5.59,48.88,4.94,
1500,200,100,1700,300,94.53,7.89,45.06,4.17,
1500,200,100,1700,300,85.63,3.84,41.12,0,
1500,200,100,1700,300,86.69,3.26,43.4,1.57,