particle,frame,x,y,c1,c2,c3
1,1,722,428,-1.000,-1.000,5507
1,2,724,438,1.316,0.658,5349
1,3,725,426,1.553,0.777,4853
1,4,724,412,1.811,0.905,4672
1,5,725,420,1.040,0.520,5510
1,6,722,438,2.354,1.177,5404
1,7,721,444,0.785,0.392,5122
1,8,725,429,2.003,1.001,4853
1,9,724,401,3.614,1.807,5322
1,10,718,362,5.090,2.545,4476
1,11,717,352,1.296,0.648,5292
1,12,721,361,1.271,0.635,5121
1,13,721,372,1.419,0.710,5338
1,14,721,380,1.032,0.516,5489
1,15,725,393,1.755,0.877,5576
1,16,726,406,1.682,0.841,5090
1,17,729,404,0.465,0.233,4778
1,18,728,396,1.040,0.520,4998
1,19,725,406,1.347,0.673,5432
1,20,729,429,3.012,1.506,5241
1,21,724,441,1.677,0.839,6221
1,22,726,425,2.080,1.040,4939
1,23,726,401,3.096,1.548,5122
1,24,724,376,3.235,1.618,4600
1,25,720,377,0.532,0.266,4463
1,26,724,388,1.510,0.755,4812
1,27,720,389,0.532,0.266,5293
1,28,724,401,1.632,0.816,5033
1,29,724,421,2.580,1.290,5611
1,30,725,433,1.553,0.777,5396
1,31,725,420,1.677,0.839,5002
1,32,726,401,2.454,1.227,5883
1,33,728,398,0.465,0.233,5799
1,34,726,398,0.258,0.129,5193
1,35,726,425,3.483,1.742,4431
1,36,724,426,0.288,0.144,5028
1,37,728,414,1.632,0.816,5328
1,38,724,405,1.271,0.635,4636
1,39,725,432,3.485,1.743,5469
1,40,720,454,2.910,1.455,4499
1,41,721,448,0.785,0.392,4362
1,42,726,413,4.561,2.280,4432
1,43,721,409,0.826,0.413,5702
1,44,722,432,2.970,1.485,4898
1,45,722,421,1.419,0.710,5977
1,46,724,417,0.577,0.288,5173
1,47,725,412,0.658,0.329,6193
1,48,725,414,0.258,0.129,6517
1,49,728,406,1.102,0.551,5763
1,50,725,429,2.992,1.496,4672
1,51,725,432,0.387,0.194,6264
1,52,728,412,2.609,1.304,4786
1,53,726,382,3.879,1.939,5085
1,54,721,373,1.328,0.664,4978
1,55,721,385,1.548,0.774,5046
1,56,728,400,2.135,1.068,4676
1,57,724,420,2.631,1.316,5503
1,58,726,418,0.365,0.182,4868
1,59,722,424,0.930,0.465,4211
1,60,720,426,0.365,0.182,4210
1,61,725,422,0.826,0.413,4528
1,62,724,429,0.912,0.456,4848
1,63,726,412,2.208,1.104,5090
1,64,722,421,1.271,0.635,4386
1,65,726,406,2.003,1.001,5199
1,66,725,409,0.408,0.204,5252
1,67,725,418,1.161,0.581,4920
1,68,726,416,0.288,0.144,5919
1,69,725,388,3.614,1.807,5252
1,70,725,390,0.258,0.129,5581
1,71,721,402,1.632,0.816,5340
1,72,720,404,0.288,0.144,5722
1,73,726,390,1.965,0.982,4836
1,74,724,384,0.816,0.408,5426
1,75,726,386,0.365,0.182,4617
1,76,718,406,2.779,1.389,4299
1,77,718,428,2.838,1.419,4844
1,78,726,400,3.757,1.878,5527
1,79,721,398,0.695,0.347,5702
1,80,724,394,0.645,0.323,5530
1,81,728,404,1.389,0.695,5758
1,82,721,420,2.253,1.126,4983
1,83,713,448,3.757,1.878,5514
1,84,717,448,0.516,0.258,5952
1,85,724,422,3.473,1.737,5281
1,86,722,424,0.365,0.182,6198
1,87,724,426,0.365,0.182,5606
1,88,724,429,0.387,0.194,5570
1,89,722,430,0.288,0.144,5332
1,90,724,432,0.365,0.182,4306
1,91,720,426,0.930,0.465,4860
1,92,729,422,1.271,0.635,5458
1,93,725,428,0.930,0.465,5681
1,94,725,424,0.516,0.258,5577
1,95,721,428,0.730,0.365,5701
1,96,725,414,1.878,0.939,4924
1,97,725,406,1.032,0.516,4381
1,98,729,401,0.826,0.413,4853
1,99,724,416,2.040,1.020,5788
1,100,724,437,2.709,1.355,5683
1,101,718,460,3.066,1.533,5387
1,102,718,460,0.000,0.000,4699
1,103,726,438,3.020,1.510,4576
1,104,726,421,2.193,1.097,4867
1,105,724,390,4.007,2.004,4960
1,106,724,378,1.548,0.774,5539
1,107,724,381,0.387,0.194,4956
1,108,725,401,2.583,1.292,5577
1,109,725,438,4.773,2.386,6052
1,110,721,452,1.878,0.939,5773
1,111,725,434,2.379,1.189,6048
1,112,725,426,1.032,0.516,6337
1,113,725,414,1.548,0.774,4599
1,114,724,389,3.228,1.614,5534
1,115,718,373,2.204,1.102,6398
1,116,718,361,1.548,0.774,6219
1,117,722,384,3.012,1.506,5005
1,118,725,404,2.609,1.304,4676
1,119,724,406,0.288,0.144,5467
1,120,724,382,3.096,1.548,6335
1,121,725,382,0.129,0.065,4599
1,122,725,388,0.774,0.387,5324
1,123,721,405,2.253,1.126,5013
1,124,721,433,3.612,1.806,5665
1,125,726,438,0.912,0.456,5558
1,126,725,421,2.197,1.098,5901
1,127,725,429,1.032,0.516,5395
1,128,728,422,0.982,0.491,5184
1,129,729,424,0.288,0.144,4808
1,130,724,422,0.695,0.347,5968
1,131,725,417,0.658,0.329,5359
1,132,721,428,1.510,0.755,7040
1,133,724,412,2.100,1.050,4924
1,134,726,402,1.316,0.658,5744
1,135,724,404,0.365,0.182,6619
1,136,725,412,1.040,0.520,6119
1,137,725,396,2.064,1.032,5649
1,138,725,412,2.064,1.032,4924
1,139,724,412,0.129,0.065,4888
1,140,725,421,1.168,0.584,4745
1,141,722,417,0.645,0.323,5077
1,142,724,414,0.465,0.233,5426
1,143,728,390,3.139,1.569,6487
1,144,724,384,0.930,0.465,5389
1,145,721,384,0.387,0.194,5557
1,146,721,377,0.903,0.452,4761
1,147,726,392,2.040,1.020,4944
1,148,725,390,0.288,0.144,5726
1,149,725,398,1.032,0.516,4898
1,150,725,413,1.935,0.968,5034
1,151,728,428,1.973,0.987,4967
1,152,726,421,0.939,0.470,4977
1,153,728,416,0.695,0.347,6229
1,154,726,410,0.816,0.408,5449
1,155,725,412,0.288,0.144,5251
1,156,724,433,2.712,1.356,4667
1,157,725,418,1.939,0.970,4667
1,158,724,404,1.811,0.905,4703
1,159,724,414,1.290,0.645,4631
1,160,726,394,2.593,1.296,4904
1,161,725,384,1.296,0.648,5143
1,162,726,381,0.408,0.204,5343
1,163,725,370,1.425,0.712,6513
1,164,724,362,1.040,0.520,5570
1,165,722,381,2.465,1.232,5653
1,166,721,426,5.806,2.903,4330
1,167,718,446,2.609,1.304,5165
1,168,725,438,1.371,0.686,5002
1,169,728,421,2.227,1.113,4274
1,170,726,417,0.577,0.288,4648
1,171,725,416,0.182,0.091,4889
1,172,725,390,3.354,1.677,6415
1,173,724,362,3.614,1.807,5173
1,174,721,354,1.102,0.551,4978
1,175,722,357,0.408,0.204,5471
1,176,724,377,2.593,1.296,6221
1,177,726,396,2.465,1.232,5779
1,178,724,409,1.697,0.848,4450
1,179,721,450,5.303,2.652,6071
1,180,714,460,1.575,0.787,4966
1,181,724,450,1.824,0.912,5570
1,182,721,452,0.465,0.233,5955
1,183,721,450,0.258,0.129,5747
1,184,725,433,2.253,1.126,4888
1,185,724,412,2.712,1.356,5394
1,186,725,413,0.182,0.091,4671
1,187,724,421,1.040,0.520,4708
1,188,725,422,0.182,0.091,5288
1,189,725,401,2.709,1.355,4744
1,190,724,406,0.658,0.329,4238
1,191,720,412,0.930,0.465,4390
1,192,724,417,0.826,0.413,4812
1,193,726,412,0.695,0.347,5635
1,194,720,380,4.200,2.100,4608
1,195,729,388,1.553,0.777,4953
1,196,726,404,2.100,1.050,5089
1,197,725,394,1.296,0.648,6119
1,198,725,406,1.548,0.774,5469
1,199,728,429,2.992,1.496,5003
1,200,716,432,1.596,0.798,5199
1,201,726,409,3.235,1.618,4762
1,202,722,385,3.139,1.569,4644
1,203,722,380,0.645,0.323,5548
1,204,725,374,0.865,0.433,5867
1,205,724,380,0.785,0.392,4996
1,206,724,414,4.386,2.193,5137
1,207,724,426,1.548,0.774,6221
1,208,724,414,1.548,0.774,4270
1,209,724,406,1.032,0.516,4708
1,210,725,406,0.129,0.065,5288
1,211,724,404,0.288,0.144,5426
1,212,714,386,2.656,1.328,4754
1,213,720,388,0.816,0.408,4779
1,214,722,397,1.189,0.595,5047
1,215,718,396,0.532,0.266,5600
1,216,721,401,0.752,0.376,4909
1,217,713,394,1.371,0.686,4617
1,218,725,404,2.015,1.008,4822
1,219,725,424,2.580,1.290,5831
1,220,724,436,1.553,0.777,5932
1,221,725,416,2.583,1.292,4888
1,222,724,404,1.553,0.777,5353
1,223,725,393,1.425,0.712,5648
1,224,725,396,0.387,0.194,6012
1,225,725,412,2.064,1.032,5034
1,226,725,420,1.032,0.516,4893
1,227,729,413,1.040,0.520,5498
1,228,725,442,3.776,1.888,5215
1,229,718,458,2.253,1.126,4880
1,230,725,445,1.905,0.952,5757
1,231,725,417,3.612,1.806,5252
1,232,722,429,1.596,0.798,4933
1,233,725,428,0.408,0.204,4849
1,234,721,426,0.577,0.288,4837
1,235,724,440,1.847,0.923,5358
1,236,722,437,0.465,0.233,4788
1,237,721,428,1.168,0.584,4290
1,238,721,428,0.000,0.000,4653
1,239,725,428,0.516,0.258,4884
1,240,726,422,0.785,0.392,4618
1,241,721,396,3.415,1.708,5992
1,242,726,394,0.695,0.347,4287
1,243,724,400,0.816,0.408,5177
1,244,724,420,2.580,1.290,5394
1,245,720,438,2.379,1.189,4788
1,246,725,409,3.796,1.898,4889
1,247,724,433,3.099,1.549,5245
1,248,726,450,2.208,1.104,5229
1,249,725,445,0.658,0.329,4781
1,250,728,440,0.752,0.376,4858
1,251,720,428,1.860,0.930,5185
1,252,721,410,2.326,1.163,5158
1,253,724,424,1.847,0.923,4306
1,254,725,422,0.288,0.144,5107
1,255,725,420,0.258,0.129,4061
1,256,716,438,2.596,1.298,5523
1,257,718,460,2.850,1.425,6037
1,258,724,446,1.965,0.982,6041
1,259,724,428,2.322,1.161,4816
1,260,725,437,1.168,0.584,5722
1,261,721,448,1.510,0.755,6098
1,262,721,450,0.258,0.129,5711
1,263,725,422,3.649,1.824,5940
1,264,726,405,2.197,1.098,4762
1,265,726,406,0.129,0.065,5271
1,266,725,413,0.912,0.456,5252
1,267,726,410,0.408,0.204,4648
1,268,726,420,1.290,0.645,4763
1,269,724,422,0.365,0.182,5137
1,270,720,406,2.128,1.064,5073
1,271,724,404,0.577,0.288,4378
1,272,721,420,2.100,1.050,4947
1,273,722,437,2.197,1.098,6089
1,274,721,448,1.425,0.712,5448
1,275,718,453,0.752,0.376,5645
1,276,726,425,3.757,1.878,5448
1,277,725,396,3.743,1.872,4383
1,278,724,404,1.040,0.520,4812
1,279,724,429,3.225,1.613,5245
1,280,729,424,0.912,0.456,4376
1,281,726,421,0.547,0.274,5593
1,282,725,422,0.182,0.091,5396
1,283,726,422,0.129,0.065,5926
1,284,724,406,2.080,1.040,5503
1,285,725,422,2.068,1.034,5432
1,286,724,448,3.356,1.678,5101
1,287,726,425,2.978,1.489,5049
1,288,724,440,1.952,0.976,5936
1,289,724,456,2.064,1.032,5353
1,290,724,444,1.548,0.774,5968
1,291,725,390,6.967,3.484,5400
1,292,721,365,3.266,1.633,4868
1,293,721,372,0.903,0.452,4506
1,294,717,389,2.253,1.126,4568
1,295,722,394,0.912,0.456,4825
1,296,724,369,3.235,1.618,4924
1,297,720,354,2.003,1.001,6015
1,298,730,377,3.235,1.618,6002
1,299,726,406,3.776,1.888,5417
1,300,730,398,1.154,0.577,6513
1,301,729,405,0.912,0.456,6290
1,302,728,433,3.614,1.807,5944
1,303,730,421,1.569,0.785,4446
1,304,729,397,3.099,1.549,5747
1,305,726,393,0.645,0.323,6325
1,306,725,386,0.912,0.456,6051
1,307,726,393,0.912,0.456,5962
1,308,725,398,0.658,0.329,5332
1,309,726,386,1.553,0.777,5199
1,310,724,377,1.189,0.595,4992
